Date,vol_vix_sentiment_close
2024-04-08,2.787
2024-04-09,2.7707
2024-04-10,2.8816
2024-04-11,2.8261
2024-04-12,3.0536
2024-04-15,3.2031
2024-04-16,3.0771
2024-04-17,3.0699
2024-04-18,2.976
2024-04-19,3.039
2024-04-22,2.9069
2024-04-23,2.7838
2024-04-24,2.8116
2024-04-25,2.783
2024-04-26,2.7311
2024-04-29,2.7059
2024-04-30,2.7809
2024-05-01,2.7737
2024-05-02,2.7094
2024-05-03,2.6214
2024-05-06,2.624
2024-05-07,2.6329
2024-05-08,2.612
2024-05-09,2.5963
2024-05-10,2.5885
2024-05-13,2.6916
2024-05-14,2.689
2024-05-15,2.6484
2024-05-16,2.6484
2024-05-17,2.6355
2024-05-20,2.6561
2024-05-21,2.63
2024-05-22,2.755
2024-05-23,2.8034
2024-05-24,2.616
2024-05-27,2.6463
2024-05-28,2.9815
2024-05-29,2.7925
2024-05-30,2.9014
2024-05-31,2.9591
2024-06-03,2.454
2024-06-04,2.4696
2024-06-05,2.3803
2024-06-06,2.2994
2024-06-07,2.6633
2024-06-10,2.7135
2024-06-11,2.961
2024-06-12,2.1552
2024-06-13,3.4029
2024-06-14,2.5805
2024-06-17,2.8328
2024-06-18,3.0507
2024-06-19,3.063
2024-06-20,2.8771
2024-06-21,2.7515
2024-06-24,3.0971
2024-06-25,3.1833
2024-06-26,2.1726
2024-06-27,2.8227
2024-06-28,3.5317
2024-07-01,2.6824
2024-07-02,2.5697
2024-07-03,2.5899
2024-07-04,2.6018
2024-07-05,2.5997
